Daily,Weekly,Monthly,Annual
0.005675384,0.024178856,0.07349798,0.349477792
-0.005106394,0.014049121,0.073622771,0.35298961
0.003407158,0.019713395,0.077150633,0.364437682
0.016306237,0.024084054,0.086302509,0.346704772
0.00389647,0.018237588,0.072074195,0.331199817
-0.00445435,0.019802627,0.059316577,0.33805828
0.00055788,0.029688822,0.081415391,0.361740219
0.007777817,0.039370858,0.07931311,0.374693449
0.010459771,0.028908476,0.087887215,0.365380713
0.00546151,0.028079599,0.074890016,0.354536844
0.005431844,0.036892716,0.061265196,0.348691088
0.010239917,0.025669859,0.055833352,0.33863674
-0.002684565,0.012786535,0.051212862,0.314791171
0.009630893,0.018642351,0.039013909,0.275919617
0.014274628,0.026275815,0.019510242,0.259739376
-0.005791014,-0.007376219,0.010443959,0.275402259
-0.002643406,0.004214969,0.020382205,0.298578143
0.00317125,0.005279843,0.030242138,0.275431586
0.017264358,0.014667628,0.03779896,0.283848878
-0.019377407,-0.000518807,0.024085202,0.254191797
0.005800174,0.009997452,0.044980444,0.291113513
-0.001578532,0.021841742,0.041704885,0.27538277
0.012559035,0.021875872,0.048313609,0.268140075
0.002077923,0.02566876,0.051189285,0.247493653
-0.008861147,0.021053409,0.057475494,0.251487394
0.017644464,0.021751246,0.059453625,0.271584614
-0.001544402,0.004106782,0.040328045,0.257525098
0.016351923,0.011270611,0.040389134,0.253087428
-0.002537428,-0.01996483,0.031431872,0.239132629
-0.008163311,-0.027300176,0.037890874,0.251991706
0,-0.01392852,0.043605004,0.264489998
0.005619427,-0.009781288,0.026789573,0.263703216
-0.014883518,-0.008184189,0.024655337,0.269431984
-0.009872774,0.017427402,0.029548762,0.290135111
0.005208345,0.030850776,0.024756293,0.296131911
0.004147232,0.027160265,0.005698021,0.28625248
0.007216526,0.025537649,0.021495198,0.280152503
0.010728072,0.023351315,0.020336237,0.270979412
0.0035506,0.028057953,0.01111684,0.276183287
0.001517835,0.032871485,-0.00915571,0.274558357
0.002524616,0.024470634,0.002020203,0.277647057
0.005030192,0.020464902,0.008536331,0.285031058
0.01543471,0.013951397,0.007000029,0.278102972
0.008364132,0.005911347,-0.021978907,0.253124384
-0.006883016,0.001468789,-0.02782097,0.248970784
-0.001481116,0.005902624,-0.030555846,0.249723513
-0.001483313,-0.009431691,-0.031621204,0.263427852
0.00739466,-0.004463186,-0.042452054,0.237976101
0.003921574,-0.02184794,-0.086118759,0.242599418
-0.002449181,-0.040434757,-0.108409299,0.234429914
-0.016815431,-0.051835503,-0.076411903,0.241897441
0.003485191,-0.015075662,-0.051162052,0.263322945
-0.009990093,-0.012503289,-0.071054068,0.23264105
-0.014665244,-0.00100452,-0.079373588,0.25476674
